# HJD mag emag
5.611098477000000275e+04 1.236299999999999955e+01 8.000000000000000167e-03
5.611098702999999659e+04 1.237700000000000067e+01 8.999999999999999320e-03
5.611098917000000074e+04 1.240600000000000058e+01 1.000000000000000021e-02
5.611099130999999761e+04 1.241099999999999959e+01 8.999999999999999320e-03
5.611099345000000176e+04 1.237500000000000000e+01 8.999999999999999320e-03
5.611099560999999812e+04 1.239199999999999946e+01 1.000000000000000021e-02
5.611099775000000227e+04 1.239499999999999957e+01 1.099999999999999936e-02
5.611099988999999914e+04 1.238499999999999979e+01 8.999999999999999320e-03
5.611100203000000329e+04 1.238799999999999990e+01 8.999999999999999320e-03
5.611100418000000354e+04 1.236599999999999966e+01 8.999999999999999320e-03
5.611100632999999652e+04 1.238100000000000023e+01 8.999999999999999320e-03
5.611100847000000067e+04 1.238400000000000034e+01 8.999999999999999320e-03
5.611296312999999645e+04 1.236500000000000021e+01 7.000000000000000146e-03
5.611296553999999742e+04 1.235599999999999987e+01 7.000000000000000146e-03
5.611296796000000177e+04 1.236700000000000088e+01 7.000000000000000146e-03
