# MJD,Non_Corr_Flux,Corr_Flux,Eflux,Telescope
5.279015332000004128e+04,1.015488874932426011e+00,1.019981475405031368e+00,1.363649054901269406e-02,1.000000000000000000e+00
5.279124948000023142e+04,1.019941281409928235e+00,9.973680902411123927e-01,1.684470415890280265e-02,1.000000000000000000e+00
5.280423543999996036e+04,9.912316712372178928e-01,1.036386840869554904e+00,1.926225943295280935e-02,1.000000000000000000e+00
5.280824115000013262e+04,1.005715561174072903e+00,1.009433628571865693e+00,1.601732761811459557e-02,1.000000000000000000e+00
5.281009182999981567e+04,1.076403670206691254e+00,9.880157152142037269e-01,1.309322947540902601e-02,1.000000000000000000e+00
5.281206452000001445e+04,1.008498298688310424e+00,1.020744183336413702e+00,1.407227140546332342e-02,1.000000000000000000e+00
5.282008992000017315e+04,1.042257838259477154e+00,9.849942123540115224e-01,1.353095243625741795e-02,1.000000000000000000e+00
5.283003873000014573e+04,1.001786488541249520e+00,9.721071089917345809e-01,1.333630003400592193e-02,1.000000000000000000e+00
5.283115638000005856e+04,1.015488874932426011e+00,9.809482459669200960e-01,1.489429667196720541e-02,1.000000000000000000e+00
5.284007043999992311e+04,1.008498298688312644e+00,1.007086611187280711e+00,1.425392370183309505e-02,1.000000000000000000e+00
5.284206872999994084e+04,1.024649116461193499e+00,1.025375841702073076e+00,1.756285553849850842e-02,1.000000000000000000e+00
5.284505653000017628e+04,1.028194247833615904e+00,1.011806879053187780e+00,1.368714552472245598e-02,1.000000000000000000e+00
5.285099563999986276e+04,1.101729986087980118e+00,9.797900868010717135e-01,1.229187941451530437e-02,1.000000000000000000e+00
5.285312723999982700e+04,1.050933340030226093e+00,9.440661661027216489e-01,1.455851072435597644e-02,1.000000000000000000e+00
5.285907089000009000e+04,9.853151714240584447e-01,1.003814452998651019e+00,1.467065505073638330e-02,1.000000000000000000e+00
5.286107789999991655e+04,1.019941281409928235e+00,9.923050866639487877e-01,1.415311174457123226e-02,1.000000000000000000e+00
5.286502430999977514e+04,9.866773753999348306e-01,1.015852607716143385e+00,1.554020176082904908e-02,1.000000000000000000e+00
5.286706430000020191e+04,9.864502106926235081e-01,9.722431317243356297e-01,1.338513210175794159e-02,1.000000000000000000e+00
